title,region,category,year,km,price
Golden Dragon Xml6700j23 Xml6700j23 Bus,RM (Metropolitana),camioneta,2013,214.365 Km,12.990.000
Furgon Escolar Yin B Hiasse 2.2 Motor Toyota,RM (Metropolitana),camioneta,2011,220.000 Km,6.000.000
Mitsubishi Katana Crt 4x4 Crt 4x4,Valparaíso,camioneta,2015,87.070 Km,14.800.000
Chevrolet Captiva Captiva 2.2 2.2,Valparaíso,camioneta,2013,120.000 Km,8.500.000
Mahindra Pick Up 2.2 Pick Up,Los Ríos,camioneta,2014,199.000 Km,6.400.000
Kia Carens 1.7 Disel,Valparaíso,camioneta,2013,11 Km,5.500.000
Ford F-350 Camioneta Doble Rueda,La Araucanía,camioneta,1996,150.000 Km,1.999.990
Volkswagen Passat Tsi Turbo 1.8,RM (Metropolitana),camioneta,2010,176.000 Km,6.900.000
Toyota Yaris Sport 1.3 Xli Xli,RM (Metropolitana),camioneta,2008,132.000 Km,4.600.000
Bmw 325i E90 O 325i,RM (Metropolitana),camioneta,2011,176.000 Km,8.500.000
Peugeot 308 1.6 Gti 272hp Mt6 5p,RM (Metropolitana),camioneta,2016,74.000 Km,14.850.000
Bmw 320 320ia 320 320ia,RM (Metropolitana),camioneta,2010,114.500 Km,7.900.000
Fiat Argo Drive 1.3 Fiat Argo Drive 1.3,RM (Metropolitana),camioneta,2019,22.000 Km,8.990.000
Chevrolet Onix Lt 1.4 Mt,RM (Metropolitana),camioneta,2017,79.607 Km,7.800.000
Dongfeng Ax7 2.0,RM (Metropolitana),camioneta,2017,160.000 Km,8.000.000
Mazda Mazda 3 Sport,RM (Metropolitana),camioneta,2013,5.000 Km,10.000
Subaru Forester Xs,RM (Metropolitana),camioneta,2014,85.109 Km,11.750.000
Mazda Bt-50 Bt50,RM (Metropolitana),camioneta,2008,10.000 Km,10.000
Mazda Cx-5 Gt 4x4 2.2 Automatico,Maule,camioneta,2019,46.000 Km,21.400.000
Ford Ecosport En Desarme Consulten,RM (Metropolitana),camioneta,2010,15.000 Km,123.465
Land Rover Range Rover Evoque 2.0t Pure,RM (Metropolitana),camioneta,2012,80.290 Km,16.190.000
Kia Morning 1.2 Ex Hb Abs Ac 5mt 5p,RM (Metropolitana),camioneta,2018,42.600 Km,7.490.000
Bmw 135 M,RM (Metropolitana),camioneta,2020,3.543 Km,36.980.000
Peugeot 307 Rx,Valparaíso,camioneta,2009,69.000 Km,4.900.000
Mitsubishi L200 Dakar At Diesel 4x4,RM (Metropolitana),camioneta,2018,110.000 Km,18.900.000
Audi A4 1.8 T Fsi Multitronic,RM (Metropolitana),camioneta,2010,110.000 Km,8.300.000
Jeep Grand Cherokee Limited Lx,RM (Metropolitana),camioneta,2018,21.711 Km,27.500.000
Ford Ranger 4x4 Diesel,RM (Metropolitana),camioneta,2015,120.000 Km,16.990.000
Bmw X5 Sdrive 25d,RM (Metropolitana),camioneta,2016,57.000 Km,24.490.000
Peugeot Expert Hdi 2.0,RM (Metropolitana),camioneta,2016,159.000 Km,12.980.000
Mercedes-benz Vito 113 Cdi Ambulancia,RM (Metropolitana),camioneta,2015,180.000 Km,11.490.000
Jeep Grand Cherokee Laredo 3.6 Aut Grand Cherokee Laredo 3.6 Aut,RM (Metropolitana),camioneta,2012,110.000 Km,12.490.000
Mini Moto Cross 49cc 2t,RM (Metropolitana),moto,2019,0 Km,289.990
Suzuki Gixxer 150 Di - Megamotos,RM (Metropolitana),moto,2021,0 Km,1.999.900
Moto Eléctrica Moto Eléctrica,RM (Metropolitana),moto,2019,1 Km,499.990
Rojabe Moto Ninja Niño,RM (Metropolitana),moto,2019,1 Km,299.990
Moto Scooter Electrica Motor 1500w / Bateria 20ah/ Garantia,RM (Metropolitana),moto,2020,1 Km,1.100.000
Moto Bicicleta Electrica Motor 350w / Bateria 48v 12h,RM (Metropolitana),moto,2020,1 Km,449.990
Moto Eléctrica 1000 Watts,Valparaíso,moto,2018,1 Km,690.000
Moto Eléctrica Australiana Super Soco Ts,RM (Metropolitana),moto,2019,1 Km,1.999.990
Atv Cuatrimoto Hummer 110 Aut  Ar7 Tamb Rev Dcr77,RM (Metropolitana),moto,2021,1 Km,798.000
Zongshen Rx3 S 400cm3 - Megamotos,RM (Metropolitana),moto,2021,0 Km,4.399.900
Sandomar 48 Cc 80cc100 Cc ,RM (Metropolitana),moto,2020,1 Km,235.000
Moto Eléctrica Rojabe Rjb-005,RM (Metropolitana),moto,2019,1 Km,899.990
Moto Eléctrica Rojabe Rjb-035,RM (Metropolitana),moto,2019,1 Km,1.099.990
Moto Eléctrica Australiana Super Soco Tc,RM (Metropolitana),moto,2019,1 Km,3.000.000
Motocicleta Motorrad Cg 150,RM (Metropolitana),moto,2020,0 Km,870.000
Motocicleta  Lifan Cg150,RM (Metropolitana),moto,2021,0 Km,870.000
Motocicleta Lifan Sienna,RM (Metropolitana),moto,2021,0 Km,1.290.000
Moto Scooter Electrica Motor 1500w / Bateria 60v 12ah,RM (Metropolitana),moto,2020,1 Km,899.990
Scooter Eléctrico Mobie Msk X-8pro. Mayor Rendimiento!,RM (Metropolitana),moto,2020,0 Km,499.990
Moto Eléctrica Super Soco Tsx,RM (Metropolitana),moto,2020,1 Km,3.000.000
Vendida!!!,RM (Metropolitana),moto,2016,50.700 Km,3.700.000
Scooter Eléctrico Mercane 1 X 500w,RM (Metropolitana),moto,2019,1 Km,499.990
New Lifan Sienna Scooter - Bellísima,RM (Metropolitana),moto,2020,0 Km,1.290.000
Bmw K1100rs,RM (Metropolitana),moto,1994,110.000 Km,5.250.000
Yamaha Super Tenere 1200 Xt1200ze Moto Turismo Como Nueva,Valparaíso,moto,2018,52.000 Km,10.000.000
Scooter Eléctrico Mercane 2 X 500w,RM (Metropolitana),moto,2019,1 Km,699.990
Rojabe Rjb-001,RM (Metropolitana),moto,2019,1 Km,799.990
Motorrad Tekken 300,RM (Metropolitana),moto,2019,4.950 Km,1.800.000
Um Xtreet 150,RM (Metropolitana),moto,2020,5 Km,1.400.000
Moto Eléctrica Rojabe Rjb-034,RM (Metropolitana),moto,2019,1 Km,1.099.990
Moto Electrica Rojabe Rjb-004,RM (Metropolitana),moto,2019,1 Km,1.099.990
Moto Eléctrica Super Soco Tc Max,RM (Metropolitana),moto,2020,1 Km,5.000.000
Kollter Germany Es1-s,RM (Metropolitana),moto,2020,1 Km,3.600.000
Yadea E-bike Yd-em151,RM (Metropolitana),moto,2020,200 Km,899.990
Triumph Tiger 1200 Xcx 2019,RM (Metropolitana),moto,2019,23.000 Km,12.490.000
Honda Xr 150l ,RM (Metropolitana),moto,2021,1.552 Km,1.890.000
Lifan Cuatrimoto Casi Nuev,RM (Metropolitana),moto,2020,1 Km,1.190.000
Moto Eléctrica Rojabe Rjb-011,RM (Metropolitana),moto,2019,1 Km,1.199.990
E-moto Ecomoto Doble Ii,RM (Metropolitana),moto,2020,1 Km,990.000
Mv Agusta F3800,Libertador B. O'Higgins,moto,2018,10.000 Km,13.980.000
Super Soco Cux,RM (Metropolitana),moto,2019,1 Km,2.600.000
E-moto Ecomoto Doble I,RM (Metropolitana),moto,2020,1 Km,790.000
Moto Eléctrica Rojabe Rjb-021,RM (Metropolitana),moto,2019,1 Km,999.990
Atv Cuadrimoto 125cc,Los Lagos,moto,2021,1 Km,1.090.000
Atv Cuatrimoto 110cc,Los Lagos,moto,2021,1 Km,790.000
Yamaha Wr 450 F,RM (Metropolitana),moto,2007,1.000 Km,2.500.000
Triumph Tiger Explorer 1200 Xca,RM (Metropolitana),moto,2017,37.000 Km,11.490.000
Moto Eléctrica Rojabe Rjb-022,RM (Metropolitana),moto,2019,1 Km,1.099.990
Suzuki Furgon Carry Furgon,RM (Metropolitana),furgon,1996,120 Km,2.500.000
Peugeot Expert Hdi 2.0,RM (Metropolitana),furgon,2016,159.000 Km,12.980.000
Kia Frontier 2.5,RM (Metropolitana),furgon,2015,173.000 Km,12.480.000
